image,seed,grid,target_rms,kind,scale,field_radius,rms,dists,lpips,psnr,ssim,vif_p,linf
task_obj_add_40931,1,16,0.04,multiplicative,0.114832,0.02478,0.04,0.039225,0.011689,27.9588,0.981367,0.852314,0.287687
task_obj_add_40931,1,16,0.04,additive,0.043009,0.02478,0.04,0.048111,0.050299,27.9588,0.903557,0.788949,0.15037
task_obj_add_40931,1,16,0.06,multiplicative,0.172147,0.02478,0.06,0.065505,0.023845,24.437,0.960951,0.776336,0.400607
task_obj_add_40931,1,16,0.06,additive,0.066021,0.02478,0.06,0.078344,0.081937,24.437,0.85487,0.68566,0.229395
task_obj_add_40931,2,16,0.01,multiplicative,0.028262,0.02621,0.01,0.002754,0.000849,39.9996,0.998847,0.978857,0.066894
task_obj_add_40931,2,16,0.01,additive,0.010122,0.02621,0.01,0.005953,0.004134,39.9996,0.983982,0.97296,0.033685
task_obj_add_40931,2,16,0.02,multiplicative,0.056246,0.02621,0.02,0.010228,0.003182,33.9793,0.995491,0.938242,0.128579
task_obj_add_40931,2,16,0.02,additive,0.020725,0.02621,0.02,0.018664,0.01666,33.9793,0.957083,0.914175,0.068973
task_obj_add_40931,2,16,0.04,multiplicative,0.111324,0.02621,0.04,0.031722,0.011591,27.9588,0.983095,0.854203,0.266545
task_obj_add_40931,2,16,0.04,additive,0.042977,0.02621,0.04,0.053332,0.04954,27.9588,0.906148,0.788651,0.143029
task_obj_add_40931,2,16,0.06,multiplicative,0.165801,0.02621,0.06,0.055637,0.02382,24.437,0.964818,0.78115,0.384581
task_obj_add_40931,2,16,0.06,additive,0.06602,0.02621,0.06,0.088248,0.084937,24.437,0.858948,0.68496,0.219718
task_obj_remove_380621,0,16,0.01,multiplicative,0.021211,0.0241,0.01,0.005699,0.002883,39.9996,0.998217,0.975214,0.061284
task_obj_remove_380621,0,16,0.01,additive,0.010015,0.0241,0.01,0.008591,0.003439,39.9996,0.996887,0.970234,0.043234
task_obj_remove_380621,0,16,0.02,multiplicative,0.042466,0.0241,0.02,0.018969,0.010894,33.9793,0.992967,0.924871,0.124314
task_obj_remove_380621,0,16,0.02,additive,0.020059,0.0241,0.02,0.031682,0.013676,33.9793,0.988527,0.907372,0.086591
task_obj_remove_380621,0,16,0.04,multiplicative,0.084953,0.0241,0.04,0.060483,0.036025,27.9588,0.973722,0.814777,0.273334
task_obj_remove_380621,0,16,0.04,additive,0.040252,0.0241,0.04,0.099547,0.047197,27.9588,0.960291,0.771134,0.173767
task_obj_remove_380621,0,16,0.06,multiplicative,0.12752,0.0241,0.06,0.105463,0.066663,24.437,0.946411,0.717991,0.419608
task_obj_remove_380621,0,16,0.06,additive,0.060653,0.0241,0.06,0.157582,0.085513,24.437,0.920339,0.656874,0.261833
task_obj_remove_380621,1,16,0.01,multiplicative,0.022166,0.02478,0.01,0.006089,0.002134,39.9996,0.998386,0.975491,0.066858
task_obj_remove_380621,1,16,0.01,additive,0.01002,0.02478,0.01,0.008561,0.002723,39.9996,0.997005,0.969551,0.037896
task_obj_remove_380621,1,16,0.02,multiplicative,0.044553,0.02478,0.02,0.022838,0.00879,33.9793,0.993565,0.921949,0.128632
task_obj_remove_380621,1,16,0.02,additive,0.020075,0.02478,0.02,0.030823,0.011081,33.9793,0.988898,0.903458,0.075922
task_obj_remove_380621,1,16,0.04,multiplicative,0.089833,0.02478,0.04,0.070292,0.030858,27.9588,0.975177,0.802642,0.239723
task_obj_remove_380621,1,16,0.04,additive,0.040337,0.02478,0.04,0.09628,0.040003,27.9588,0.961583,0.761654,0.152549
task_obj_remove_380621,1,16,0.06,multiplicative,0.135771,0.02478,0.06,0.119678,0.0594,24.437,0.947383,0.696378,0.337255
task_obj_remove_380621,1,16,0.06,additive,0.060812,0.02478,0.06,0.155818,0.076078,24.437,0.923886,0.643443,0.229986
task_obj_remove_380621,2,16,0.01,multiplicative,0.022159,0.02621,0.01,0.006777,0.002829,39.9996,0.998343,0.974082,0.064021
task_obj_remove_380621,2,16,0.01,additive,0.010015,0.02621,0.01,0.008531,0.00317,39.9996,0.997237,0.969643,0.033329
task_obj_remove_380621,2,16,0.02,multiplicative,0.04433,0.02621,0.02,0.023712,0.011311,33.9793,0.993427,0.919742,0.121926
task_obj_remove_380621,2,16,0.02,additive,0.020052,0.02621,0.02,0.02963,0.012527,33.9793,0.989441,0.903468,0.066733
task_obj_remove_380621,2,16,0.04,multiplicative,0.088749,0.02621,0.04,0.069617,0.039872,27.9588,0.97468,0.802232,0.229313
task_obj_remove_380621,2,16,0.04,additive,0.040259,0.02621,0.04,0.095799,0.045962,27.9588,0.962361,0.761596,0.133983
task_obj_remove_380621,2,16,0.06,multiplicative,0.133523,0.02621,0.06,0.115501,0.07285,24.437,0.946142,0.699872,0.323886
task_obj_remove_380621,2,16,0.06,additive,0.060709,0.02621,0.06,0.142369,0.085202,24.437,0.923774,0.643393,0.202042
task_obj_swap_joint_mask_276754,0,16,0.01,multiplicative,0.040289,0.0241,0.01,0.006908,0.001862,39.9996,0.997965,0.974185,0.106344
task_obj_swap_joint_mask_276754,0,16,0.01,additive,0.010476,0.0241,0.01,0.025323,0.009664,39.9996,0.968992,0.965417,0.045222
task_obj_swap_joint_mask_276754,0,16,0.02,multiplicative,0.080986,0.0241,0.02,0.020516,0.006085,33.9793,0.992047,0.924232,0.230891
task_obj_swap_joint_mask_276754,0,16,0.02,additive,0.021128,0.0241,0.02,0.065298,0.035189,33.9793,0.937373,0.894373,0.091209
task_obj_swap_joint_mask_276754,0,16,0.04,multiplicative,0.162602,0.0241,0.04,0.057628,0.021789,27.9588,0.971037,0.820683,0.47401
task_obj_swap_joint_mask_276754,0,16,0.04,additive,0.043065,0.0241,0.04,0.123368,0.091801,27.9588,0.880869,0.748755,0.185908
task_obj_swap_joint_mask_276754,0,16,0.06,multiplicative,0.243909,0.0241,0.06,0.09266,0.046284,24.437,0.942014,0.731046,0.624307
task_obj_swap_joint_mask_276754,0,16,0.06,additive,0.06606,0.0241,0.06,0.165773,0.143376,24.437,0.824236,0.630402,0.285177
task_obj_swap_joint_mask_276754,1,16,0.01,multiplicative,0.03842,0.02478,0.01,0.008589,0.001661,39.9996,0.998285,0.972152,0.107807
task_obj_swap_joint_mask_276754,1,16,0.01,additive,0.010379,0.02478,0.01,0.024683,0.008489,39.9996,0.965978,0.96496,0.039252
task_obj_swap_joint_mask_276754,1,16,0.02,multiplicative,0.076814,0.02478,0.02,0.023002,0.006228,33.9793,0.993298,0.921998,0.20103
task_obj_swap_joint_mask_276754,1,16,0.02,additive,0.020931,0.02478,0.02,0.066526,0.031436,33.9793,0.936143,0.891927,0.079159
task_obj_swap_joint_mask_276754,1,16,0.04,multiplicative,0.153052,0.02478,0.04,0.052475,0.021438,27.9588,0.975064,0.822552,0.368627
task_obj_swap_joint_mask_276754,1,16,0.04,additive,0.042684,0.02478,0.04,0.120333,0.085929,27.9588,0.883123,0.740653,0.161425
task_obj_swap_joint_mask_276754,1,16,0.06,multiplicative,0.228702,0.02478,0.06,0.088487,0.043487,24.437,0.948753,0.738099,0.517647
task_obj_swap_joint_mask_276754,1,16,0.06,additive,0.065506,0.02478,0.06,0.160628,0.139727,24.437,0.827946,0.617433,0.247325
task_obj_swap_joint_mask_276754,2,16,0.01,multiplicative,0.040918,0.02621,0.01,0.005083,0.00153,39.9996,0.998284,0.971592,0.107827
task_obj_swap_joint_mask_276754,2,16,0.01,additive,0.010542,0.02621,0.01,0.018781,0.006984,39.9996,0.972773,0.9635,0.035085
task_obj_swap_joint_mask_276754,2,16,0.02,multiplicative,0.081319,0.02621,0.02,0.015511,0.005758,33.9793,0.993323,0.920016,0.213729
task_obj_swap_joint_mask_276754,2,16,0.02,additive,0.021245,0.02621,0.02,0.055418,0.029642,33.9793,0.942858,0.888253,0.070703
task_obj_swap_joint_mask_276754,2,16,0.04,multiplicative,0.160295,0.02621,0.04,0.045012,0.021132,27.9588,0.975252,0.816937,0.379799
task_obj_swap_joint_mask_276754,2,16,0.04,additive,0.043184,0.02621,0.04,0.115641,0.09214,27.9588,0.88742,0.736071,0.143719
task_obj_swap_joint_mask_276754,2,16,0.06,multiplicative,0.239427,0.02621,0.06,0.077637,0.044077,24.437,0.948729,0.727805,0.522993
task_obj_swap_joint_mask_276754,2,16,0.06,additive,0.065987,0.02621,0.06,0.157442,0.151718,24.437,0.829918,0.614581,0.219607
task_obj_swap_joint_mask_533428,0,16,0.01,multiplicative,0.019282,0.0241,0.01,0.003485,0.001726,39.9996,0.998353,0.977473,0.068924
task_obj_swap_joint_mask_533428,0,16,0.01,additive,0.010018,0.0241,0.01,0.00387,0.001406,39.9996,0.997423,0.974849,0.043248
task_obj_swap_joint_mask_533428,0,16,0.02,multiplicative,0.03859,0.0241,0.02,0.007455,0.005973,33.9793,0.993577,0.933939,0.143007
task_obj_swap_joint_mask_533428,0,16,0.02,additive,0.02008,0.0241,0.02,0.01009,0.005454,33.9793,0.989668,0.919864,0.086682
task_obj_swap_joint_mask_533428,0,16,0.04,multiplicative,0.077905,0.0241,0.04,0.022998,0.018727,27.9588,0.976293,0.843041,0.275665
task_obj_swap_joint_mask_533428,0,16,0.04,additive,0.040428,0.0241,0.04,0.033298,0.020515,27.9588,0.961385,0.799423,0.174525
task_obj_swap_joint_mask_533428,0,16,0.06,multiplicative,0.120823,0.0241,0.06,0.042356,0.037305,24.437,0.950501,0.760073,0.368709
task_obj_swap_joint_mask_533428,0,16,0.06,additive,0.061284,0.0241,0.06,0.060673,0.040633,24.437,0.923339,0.696882,0.264557
task_obj_swap_joint_mask_533428,1,16,0.01,multiplicative,0.020739,0.02478,0.01,0.002274,0.001435,39.9996,0.998473,0.976324,0.063975
task_obj_swap_joint_mask_533428,1,16,0.01,additive,0.010056,0.02478,0.01,0.004281,0.001345,39.9996,0.996641,0.972296,0.038032
task_obj_swap_joint_mask_533428,1,16,0.02,multiplicative,0.041646,0.02478,0.02,0.008992,0.005363,33.9793,0.99398,0.929681,0.124716
task_obj_swap_joint_mask_533428,1,16,0.02,additive,0.020214,0.02478,0.02,0.013584,0.005095,33.9793,0.988199,0.914279,0.076449
task_obj_swap_joint_mask_533428,1,16,0.04,multiplicative,0.08409,0.02478,0.04,0.028263,0.017917,27.9588,0.977425,0.831553,0.234299
task_obj_swap_joint_mask_533428,1,16,0.04,additive,0.040928,0.02478,0.04,0.039646,0.018546,27.9588,0.96111,0.790293,0.154784
task_obj_swap_joint_mask_533428,1,16,0.06,multiplicative,0.129622,0.02478,0.06,0.047811,0.035448,24.437,0.95291,0.743611,0.337255
task_obj_swap_joint_mask_533428,1,16,0.06,additive,0.062172,0.02478,0.06,0.066734,0.03684,24.437,0.926636,0.686021,0.235128
task_obj_swap_joint_mask_533428,2,16,0.01,multiplicative,0.01993,0.02621,0.01,0.003363,0.002182,39.9996,0.998148,0.97538,0.060173
task_obj_swap_joint_mask_533428,2,16,0.01,additive,0.010018,0.02621,0.01,0.003619,0.001638,39.9996,0.997157,0.97348,0.033339
task_obj_swap_joint_mask_533428,2,16,0.02,multiplicative,0.039855,0.02621,0.02,0.010651,0.00794,33.9793,0.992776,0.928351,0.123486
task_obj_swap_joint_mask_533428,2,16,0.02,additive,0.020089,0.02621,0.02,0.010947,0.006256,33.9793,0.989132,0.916469,0.066856
task_obj_swap_joint_mask_533428,2,16,0.04,multiplicative,0.080712,0.02621,0.04,0.029907,0.024384,27.9588,0.973782,0.832114,0.219608
task_obj_swap_joint_mask_533428,2,16,0.04,additive,0.040606,0.02621,0.04,0.035516,0.022594,27.9588,0.961302,0.792226,0.135139
task_obj_swap_joint_mask_533428,2,16,0.06,multiplicative,0.123234,0.02621,0.06,0.047569,0.043776,24.437,0.9476,0.748982,0.309848
task_obj_swap_joint_mask_533428,2,16,0.06,additive,0.061781,0.02621,0.06,0.065725,0.044772,24.437,0.92352,0.686863,0.2
task_obj_swap_rand_mask_417469,0,16,0.01,multiplicative,0.032968,0.0241,0.01,0.003176,0.002062,39.9996,0.997804,0.972107,0.088822
task_obj_swap_rand_mask_417469,0,16,0.01,additive,0.0102,0.0241,0.01,0.012769,0.00675,39.9996,0.987476,0.964629,0.044031
task_obj_swap_rand_mask_417469,0,16,0.02,multiplicative,0.065857,0.0241,0.02,0.011122,0.007057,33.9793,0.991633,0.919949,0.190882
task_obj_swap_rand_mask_417469,0,16,0.02,additive,0.020562,0.0241,0.02,0.034824,0.021525,33.9793,0.963717,0.893246,0.088763
task_obj_swap_rand_mask_417469,0,16,0.04,multiplicative,0.130786,0.0241,0.04,0.032636,0.019772,27.9588,0.971025,0.814266,0.431373
task_obj_swap_rand_mask_417469,0,16,0.04,additive,0.041789,0.0241,0.04,0.071016,0.063697,27.9588,0.901447,0.746276,0.180402
task_obj_swap_rand_mask_417469,0,16,0.06,multiplicative,0.197349,0.0241,0.06,0.058287,0.035354,24.437,0.94296,0.721478,0.482353
task_obj_swap_rand_mask_417469,0,16,0.06,additive,0.063864,0.0241,0.06,0.098289,0.105699,24.437,0.832514,0.628337,0.275694
task_obj_swap_rand_mask_417469,1,16,0.01,multiplicative,0.028488,0.02478,0.01,0.003185,0.001389,39.9996,0.998471,0.976083,0.075984
task_obj_swap_rand_mask_417469,1,16,0.01,additive,0.010062,0.02478,0.01,0.014296,0.006545,39.9996,0.98786,0.965585,0.038053
task_obj_swap_rand_mask_417469,1,16,0.02,multiplicative,0.05685,0.02478,0.02,0.009327,0.005146,33.9793,0.994037,0.930111,0.149301
task_obj_swap_rand_mask_417469,1,16,0.02,additive,0.020197,0.02478,0.02,0.036073,0.023799,33.9793,0.964346,0.894134,0.076384
task_obj_swap_rand_mask_417469,1,16,0.04,multiplicative,0.112939,0.02478,0.04,0.025964,0.015967,27.9588,0.97807,0.833128,0.288208
task_obj_swap_rand_mask_417469,1,16,0.04,additive,0.040838,0.02478,0.04,0.071169,0.065582,27.9588,0.905989,0.74461,0.154447
task_obj_swap_rand_mask_417469,1,16,0.06,multiplicative,0.169662,0.02478,0.06,0.053864,0.030126,24.437,0.954794,0.745669,0.422065
task_obj_swap_rand_mask_417469,1,16,0.06,additive,0.06212,0.02478,0.06,0.106857,0.104491,24.437,0.842773,0.623232,0.234933
task_obj_swap_rand_mask_417469,2,16,0.01,multiplicative,0.030308,0.02621,0.01,0.002995,0.001332,39.9996,0.998427,0.97276,0.086604
task_obj_swap_rand_mask_417469,2,16,0.01,additive,0.01008,0.02621,0.01,0.016877,0.007659,39.9996,0.986796,0.963771,0.033546
task_obj_swap_rand_mask_417469,2,16,0.02,multiplicative,0.060205,0.02621,0.02,0.01011,0.004859,33.9793,0.993896,0.922928,0.180736
task_obj_swap_rand_mask_417469,2,16,0.02,additive,0.020363,0.02621,0.02,0.037799,0.026938,33.9793,0.961065,0.890126,0.06777
task_obj_swap_rand_mask_417469,2,16,0.04,multiplicative,0.119736,0.02621,0.04,0.03371,0.016637,27.9588,0.977292,0.820414,0.313725
task_obj_swap_rand_mask_417469,2,16,0.04,additive,0.041632,0.02621,0.04,0.075873,0.069356,27.9588,0.902207,0.739724,0.138552
task_obj_swap_rand_mask_417469,2,16,0.06,multiplicative,0.181576,0.02621,0.06,0.066408,0.033261,24.437,0.952299,0.729036,0.443137
task_obj_swap_rand_mask_417469,2,16,0.06,additive,0.063643,0.02621,0.06,0.113641,0.109785,24.437,0.837435,0.618499,0.211805
