image,kind,param,r_lo,r_hi,energy_frac,energy_keep
task_obj_swap_joint_mask_533428,crop_warped,0.15,0.0,0.1768,0.301406,
task_obj_swap_joint_mask_533428,crop_warped,0.15,0.1768,0.3536,0.34522,
task_obj_swap_joint_mask_533428,crop_warped,0.15,0.3536,0.5303,0.253305,
task_obj_swap_joint_mask_533428,crop_warped,0.15,0.5303,0.7071,0.076912,
task_obj_swap_joint_mask_533428,crop_warped,0.15,0.7071,0.8839,0.014547,
task_obj_swap_joint_mask_533428,crop_warped,0.15,0.8839,1.0607,0.00812,
task_obj_swap_joint_mask_533428,crop_warped,0.15,1.0607,1.2374,0.000461,
task_obj_swap_joint_mask_533428,crop_warped,0.15,1.2374,1.4142,2.9e-05,
task_obj_swap_rand_mask_417469,residual,,0.0,0.1768,0.076843,
task_obj_swap_rand_mask_417469,residual,,0.1768,0.3536,0.179297,
task_obj_swap_rand_mask_417469,residual,,0.3536,0.5303,0.226056,
task_obj_swap_rand_mask_417469,residual,,0.5303,0.7071,0.267503,
task_obj_swap_rand_mask_417469,residual,,0.7071,0.8839,0.169957,
task_obj_swap_rand_mask_417469,residual,,0.8839,1.0607,0.065868,
task_obj_swap_rand_mask_417469,residual,,1.0607,1.2374,0.01299,
task_obj_swap_rand_mask_417469,residual,,1.2374,1.4142,0.001486,
task_obj_swap_rand_mask_417469,blur_survived,1.0,0.0,0.1768,0.331507,0.210204
task_obj_swap_rand_mask_417469,blur_survived,1.0,0.1768,0.3536,0.451092,0.210204
task_obj_swap_rand_mask_417469,blur_survived,1.0,0.3536,0.5303,0.175692,0.210204
task_obj_swap_rand_mask_417469,blur_survived,1.0,0.5303,0.7071,0.037805,0.210204
task_obj_swap_rand_mask_417469,blur_survived,1.0,0.7071,0.8839,0.003316,0.210204
task_obj_swap_rand_mask_417469,blur_survived,1.0,0.8839,1.0607,0.000569,0.210204
task_obj_swap_rand_mask_417469,blur_survived,1.0,1.0607,1.2374,2e-05,0.210204
task_obj_swap_rand_mask_417469,blur_survived,1.0,1.2374,1.4142,0.0,0.210204
task_obj_swap_rand_mask_417469,blur_survived,2.0,0.0,0.1768,0.721742,0.066229
task_obj_swap_rand_mask_417469,blur_survived,2.0,0.1768,0.3536,0.26786,0.066229
task_obj_swap_rand_mask_417469,blur_survived,2.0,0.3536,0.5303,0.007383,0.066229
task_obj_swap_rand_mask_417469,blur_survived,2.0,0.5303,0.7071,0.001387,0.066229
task_obj_swap_rand_mask_417469,blur_survived,2.0,0.7071,0.8839,0.001008,0.066229
task_obj_swap_rand_mask_417469,blur_survived,2.0,0.8839,1.0607,0.00062,0.066229
task_obj_swap_rand_mask_417469,blur_survived,2.0,1.0607,1.2374,0.0,0.066229
task_obj_swap_rand_mask_417469,blur_survived,2.0,1.2374,1.4142,0.0,0.066229
task_obj_swap_rand_mask_417469,crop_warped,0.1,0.0,0.1768,0.146985,
task_obj_swap_rand_mask_417469,crop_warped,0.1,0.1768,0.3536,0.30121,
task_obj_swap_rand_mask_417469,crop_warped,0.1,0.3536,0.5303,0.314399,
task_obj_swap_rand_mask_417469,crop_warped,0.1,0.5303,0.7071,0.178763,
task_obj_swap_rand_mask_417469,crop_warped,0.1,0.7071,0.8839,0.038361,
task_obj_swap_rand_mask_417469,crop_warped,0.1,0.8839,1.0607,0.01807,
task_obj_swap_rand_mask_417469,crop_warped,0.1,1.0607,1.2374,0.002085,
task_obj_swap_rand_mask_417469,crop_warped,0.1,1.2374,1.4142,0.000128,
task_obj_swap_rand_mask_417469,crop_warped,0.15,0.0,0.1768,0.197178,
task_obj_swap_rand_mask_417469,crop_warped,0.15,0.1768,0.3536,0.344404,
task_obj_swap_rand_mask_417469,crop_warped,0.15,0.3536,0.5303,0.327422,
task_obj_swap_rand_mask_417469,crop_warped,0.15,0.5303,0.7071,0.100069,
task_obj_swap_rand_mask_417469,crop_warped,0.15,0.7071,0.8839,0.019306,
task_obj_swap_rand_mask_417469,crop_warped,0.15,0.8839,1.0607,0.011011,
task_obj_swap_rand_mask_417469,crop_warped,0.15,1.0607,1.2374,0.000572,
task_obj_swap_rand_mask_417469,crop_warped,0.15,1.2374,1.4142,3.8e-05,
