image,mode,gate,theta,dists,lpips,psnr,ssim,rms,linf,clip_fraction,degenerate_fraction,plane_init,n_params
task_obj_swap_joint_mask_276754,plane,band,3.141592653589793,0.268115,0.419949,15.6862,-0.08489,0.164319,1.0,0.071404,0.092611,aligned,1560576
task_obj_swap_joint_mask_533428,plane,texture,0.1,0.000508,0.004808,42.8192,0.999431,0.007228,0.095443,0.003657,0.0,aligned,1560576
task_obj_swap_joint_mask_533428,plane,texture,0.2,0.002266,0.020332,36.8653,0.997715,0.014346,0.189821,0.006385,0.0,aligned,1560576
task_obj_swap_joint_mask_533428,plane,texture,0.4,0.009211,0.072231,30.9674,0.990679,0.02829,0.372533,0.011667,0.0,aligned,1560576
task_obj_swap_joint_mask_533428,plane,texture,0.7,0.032581,0.164026,26.2594,0.969664,0.048644,0.621286,0.017729,0.0,aligned,1560576
task_obj_swap_joint_mask_533428,plane,texture,1.1,0.084572,0.279546,22.5405,0.916707,0.074641,0.812081,0.02329,0.0,aligned,1560576
task_obj_swap_joint_mask_533428,plane,texture,1.6,0.15609,0.399881,19.6069,0.803091,0.10463,0.984314,0.027161,0.0,aligned,1560576
task_obj_swap_joint_mask_533428,plane,texture,2.2,0.219512,0.490604,17.3729,0.618186,0.135318,1.0,0.029302,0.0,aligned,1560576
task_obj_swap_joint_mask_533428,plane,texture,3.141592653589793,0.272282,0.540477,15.4343,0.364077,0.169155,1.0,0.02931,0.0,aligned,1560576
task_obj_swap_joint_mask_533428,plane,band,0.1,0.002691,0.018456,38.3363,0.998554,0.012111,0.128226,0.00576,0.0,aligned,1560576
task_obj_swap_joint_mask_533428,plane,band,0.2,0.013125,0.065814,32.411,0.994184,0.023958,0.257444,0.010974,0.0,aligned,1560576
task_obj_swap_joint_mask_533428,plane,band,0.4,0.057793,0.173433,26.5515,0.975917,0.047035,0.51601,0.019479,0.0,aligned,1560576
task_obj_swap_joint_mask_533428,plane,band,0.7,0.163124,0.326089,21.8949,0.918975,0.0804,0.890196,0.027855,0.0,aligned,1560576
task_obj_swap_joint_mask_533428,plane,band,1.1,0.295298,0.498111,18.2836,0.772202,0.121849,0.988235,0.03288,0.0,aligned,1560576
task_obj_swap_joint_mask_533428,plane,band,1.6,0.381653,0.602481,15.627,0.492362,0.165444,1.0,0.033897,0.0,aligned,1560576
task_obj_swap_joint_mask_533428,plane,band,2.2,0.363361,0.618126,13.9013,0.181117,0.201806,1.0,0.032753,0.0,aligned,1560576
task_obj_swap_joint_mask_533428,plane,band,3.141592653589793,0.344556,0.52671,13.027,0.002367,0.223178,1.0,0.031706,0.0,aligned,1560576
task_obj_swap_rand_mask_417469,plane,texture,0.1,0.000287,0.002877,45.7943,0.999569,0.005131,0.080373,0.007353,0.009115,aligned,1560576
task_obj_swap_rand_mask_417469,plane,texture,0.2,0.001162,0.012426,39.8041,0.998272,0.010228,0.158942,0.008076,0.009115,aligned,1560576
task_obj_swap_rand_mask_417469,plane,texture,0.4,0.005436,0.050436,33.8609,0.993043,0.020274,0.300825,0.009897,0.009115,aligned,1560576
task_obj_swap_rand_mask_417469,plane,texture,0.7,0.022045,0.131126,29.1348,0.978171,0.034935,0.532803,0.012793,0.009115,aligned,1560576
