    [phase] step 5180 loss 89.525513 |p| 1.00742
    [phase] step 5365 loss 89.393669 |p| 1.01189
    [phase] step 5550 loss 89.273254 |p| 1.01611
    [phase] step 5735 loss 89.162186 |p| 1.02017
    [phase] step 5920 loss 89.034164 |p| 1.02413
    [phase] step 6105 loss 88.932533 |p| 1.02791
    [phase] step 6290 loss 88.824593 |p| 1.03150
    [phase] step 6475 loss 88.729546 |p| 1.03489
    [phase] step 6660 loss 88.633934 |p| 1.03807
    [phase] step 6845 loss 88.559448 |p| 1.04112
    [phase] step 7030 loss 88.463486 |p| 1.04415
    [phase] step 7215 loss 88.392174 |p| 1.04700
    [phase] step 7400 loss 88.298393 |p| 1.04986
    [phase] step 7412 loss 88.293213 |p| 1.05004
task_attr_mod_color_136767       phase_gain     r=2.5000 dists=0.1234 lpips=0.3216 effect=0.4207 (2483s)
    [phase] step    0 loss 105.163506 |p| 0.00118
    [phase] step  185 loss 94.988731 |p| 0.14851
    [phase] step  370 loss 88.766762 |p| 0.25584
    [phase] step  555 loss 84.186562 |p| 0.33857
    [phase] step  740 loss 80.555832 |p| 0.40251
    [phase] step  925 loss 78.282860 |p| 0.45286
    [phase] step 1110 loss 76.485519 |p| 0.49386
    [phase] step 1295 loss 75.075218 |p| 0.52793
    [phase] step 1480 loss 73.869186 |p| 0.55632
    [phase] step 1665 loss 72.837547 |p| 0.58097
    [phase] step 1850 loss 71.939011 |p| 0.60287
    [phase] step 2035 loss 71.290062 |p| 0.61650
    [phase] step 2220 loss 70.766670 |p| 0.62833
    [phase] step 2405 loss 70.293190 |p| 0.63895
    [phase] step 2590 loss 69.895546 |p| 0.64875
    [phase] step 2775 loss 69.493126 |p| 0.65773
    [phase] step 2960 loss 69.158066 |p| 0.66602
    [phase] step 3145 loss 68.844284 |p| 0.67366
    [phase] step 3330 loss 68.546425 |p| 0.68077
    [phase] step 3515 loss 68.263809 |p| 0.68742
    [phase] step 3700 loss 68.027550 |p| 0.69381
