image,variant,gate,sign,theta,gate_mean,dists,lpips,psnr,ssim,rms,linf,zero_pair_frac,delta_within_1
task_attr_mod_color_136767,post_int,band,random,1.2,1.0,0.375565,0.450826,19.4589,0.711212,0.106428,1.0,0.776704,0.891055
task_attr_mod_color_136767,post_int,band,random,2.0,1.0,0.396065,0.512113,16.2131,0.484556,0.154648,1.0,0.776704,0.877348
task_attr_mod_color_136767,post_int,band,random,3.1416,1.0,0.384619,0.481691,14.782,0.339777,0.182347,1.0,0.776704,0.833293
task_attr_mod_color_136767,post_int,band,coherent,0.08,1.0,0.021552,0.056249,36.7529,0.99049,0.014533,0.251895,0.776704,0.989409
task_attr_mod_color_136767,post_int,band,coherent,0.3,1.0,0.173177,0.15833,30.1046,0.965293,0.031244,0.477094,0.776704,0.961847
task_attr_mod_color_136767,post_int,band,coherent,0.6,1.0,0.27974,0.310088,24.6627,0.894313,0.058461,0.906615,0.776704,0.934425
task_attr_mod_color_136767,post_int,band,coherent,1.2,1.0,0.377067,0.457406,19.4318,0.709719,0.10676,1.0,0.776704,0.890921
task_attr_mod_color_136767,post_int,band,coherent,2.0,1.0,0.393887,0.515385,16.2344,0.484523,0.15427,1.0,0.776704,0.877389
task_attr_mod_color_136767,post_int,band,coherent,3.1416,1.0,0.384619,0.481691,14.782,0.339777,0.182347,1.0,0.776704,0.833293
task_attr_mod_color_136767,pre_float,texture,random,0.08,0.49191,0.001428,0.003129,46.5928,0.999256,0.00468,0.177754,,
task_attr_mod_color_136767,pre_float,texture,random,0.3,0.49191,0.012631,0.019738,38.0524,0.994578,0.012513,0.282022,,
task_attr_mod_color_136767,pre_float,texture,random,0.6,0.49191,0.053921,0.068077,32.3898,0.980362,0.024016,0.565087,,
task_attr_mod_color_136767,pre_float,texture,random,1.2,0.49191,0.147811,0.182763,26.6733,0.931317,0.04638,0.858445,,
task_attr_mod_color_136767,pre_float,texture,random,2.0,0.49191,0.213311,0.29153,22.6495,0.842947,0.07371,0.964706,,
task_attr_mod_color_136767,pre_float,texture,random,3.1416,0.49191,0.272582,0.380697,19.6093,0.717066,0.104601,1.0,,
task_attr_mod_color_136767,pre_float,texture,coherent,0.08,0.49191,0.001921,0.003283,46.611,0.999259,0.00467,0.176106,,
task_attr_mod_color_136767,pre_float,texture,coherent,0.3,0.49191,0.016716,0.022247,38.0804,0.994587,0.012473,0.28291,,
task_attr_mod_color_136767,pre_float,texture,coherent,0.6,0.49191,0.063091,0.074464,32.4176,0.980323,0.02394,0.566828,,
task_attr_mod_color_136767,pre_float,texture,coherent,1.2,0.49191,0.160014,0.193506,26.7034,0.930992,0.04622,0.765476,,
task_attr_mod_color_136767,pre_float,texture,coherent,2.0,0.49191,0.225436,0.302935,22.6796,0.842285,0.073455,0.996078,,
task_attr_mod_color_136767,pre_float,texture,coherent,3.1416,0.49191,0.27682,0.389556,19.6333,0.716654,0.104312,1.0,,
task_attr_mod_color_136767,pre_deliver,texture,random,0.08,0.49191,0.00652,0.046291,37.8427,0.992072,0.012819,0.24823,,
task_attr_mod_color_136767,pre_deliver,texture,random,0.3,0.49191,0.016727,0.058977,35.2797,0.987615,0.017219,0.29512,,
task_attr_mod_color_136767,pre_deliver,texture,random,0.6,0.49191,0.057142,0.098058,31.4783,0.97383,0.026674,0.591612,,
task_attr_mod_color_136767,pre_deliver,texture,random,1.2,0.49191,0.1482,0.200111,26.4352,0.925974,0.047669,0.827735,,
task_attr_mod_color_136767,pre_deliver,texture,random,2.0,0.49191,0.211918,0.299155,22.5715,0.839345,0.074374,0.964706,,
task_attr_mod_color_136767,pre_deliver,texture,random,3.1416,0.49191,0.273865,0.381154,19.5878,0.715891,0.10486,1.0,,
task_attr_mod_color_136767,pre_deliver,texture,coherent,0.08,0.49191,0.00637,0.046777,37.8418,0.992077,0.01282,0.245899,,
task_attr_mod_color_136767,pre_deliver,texture,coherent,0.3,0.49191,0.02152,0.060523,35.3048,0.987555,0.017169,0.294497,,
task_attr_mod_color_136767,pre_deliver,texture,coherent,0.6,0.49191,0.065704,0.10296,31.5083,0.973661,0.026582,0.592857,,
task_attr_mod_color_136767,pre_deliver,texture,coherent,1.2,0.49191,0.159466,0.209311,26.4652,0.925412,0.047505,0.779793,,
task_attr_mod_color_136767,pre_deliver,texture,coherent,2.0,0.49191,0.226245,0.30945,22.6008,0.838359,0.074124,0.988235,,
task_attr_mod_color_136767,pre_deliver,texture,coherent,3.1416,0.49191,0.276548,0.389763,19.6087,0.715036,0.104608,1.0,,
task_attr_mod_color_136767,post_int,texture,random,0.08,0.49191,0.005675,0.046302,37.8409,0.992105,0.012822,0.248636,0.776704,0.99703
task_attr_mod_color_136767,post_int,texture,random,0.3,0.49191,0.018454,0.05849,35.1319,0.98724,0.017514,0.271382,0.776704,0.984343
task_attr_mod_color_136767,post_int,texture,random,0.6,0.49191,0.061393,0.100116,31.1648,0.972186,0.027654,0.571922,0.776704,0.970229
task_attr_mod_color_136767,post_int,texture,random,1.2,0.49191,0.155364,0.210704,26.0121,0.920773,0.050049,0.815521,0.776704,0.947574
task_attr_mod_color_136767,post_int,texture,random,2.0,0.49191,0.219567,0.30454,22.2631,0.833239,0.077063,0.964706,0.776704,0.923593
task_attr_mod_color_136767,post_int,texture,random,3.1416,0.49191,0.275384,0.384327,19.4166,0.711684,0.106947,1.0,0.776704,0.896731
task_attr_mod_color_136767,post_int,texture,coherent,0.08,0.49191,0.006276,0.046521,37.8452,0.992104,0.012815,0.245378,0.776704,0.997024
task_attr_mod_color_136767,post_int,texture,coherent,0.3,0.49191,0.022408,0.060333,35.1376,0.98715,0.017503,0.271978,0.776704,0.98436
task_attr_mod_color_136767,post_int,texture,coherent,0.6,0.49191,0.071355,0.105982,31.1615,0.971841,0.027665,0.57379,0.776704,0.970305
task_attr_mod_color_136767,post_int,texture,coherent,1.2,0.49191,0.163728,0.218076,26.0025,0.919637,0.050104,0.788235,0.776704,0.947838
task_attr_mod_color_136767,post_int,texture,coherent,2.0,0.49191,0.226696,0.314841,22.258,0.831911,0.077108,0.996078,0.776704,0.923575
task_attr_mod_color_136767,post_int,texture,coherent,3.1416,0.49191,0.279421,0.391538,19.4216,0.711512,0.106886,1.0,0.776704,0.896604
task_attr_mod_color_184837,pre_float,band,random,0.08,1.0,0.01916,0.014053,39.0106,0.997035,0.011206,0.105616,,
task_attr_mod_color_184837,pre_float,band,random,0.3,1.0,0.161758,0.134981,28.2428,0.965493,0.038713,0.348631,,
task_attr_mod_color_184837,pre_float,band,random,0.6,1.0,0.278208,0.335937,22.4484,0.876753,0.075436,0.647974,,
task_attr_mod_color_184837,pre_float,band,random,1.2,1.0,0.35123,0.541534,16.892,0.609788,0.143021,0.968627,,
task_attr_mod_color_184837,pre_float,band,random,2.0,1.0,0.384561,0.615464,13.4775,0.239768,0.211898,1.0,,
task_attr_mod_color_184837,pre_float,band,random,3.1416,1.0,0.368176,0.526888,11.9769,-0.006758,0.251859,1.0,,
task_attr_mod_color_184837,pre_float,band,coherent,0.08,1.0,0.01795,0.015666,39.0532,0.997051,0.011151,0.095884,,
task_attr_mod_color_184837,pre_float,band,coherent,0.3,1.0,0.162645,0.144517,28.2828,0.965621,0.038535,0.340687,,
task_attr_mod_color_184837,pre_float,band,coherent,0.6,1.0,0.291448,0.34486,22.4816,0.876831,0.075149,0.642956,,
task_attr_mod_color_184837,pre_float,band,coherent,1.2,1.0,0.362201,0.547787,16.9063,0.609316,0.142786,0.984314,,
task_attr_mod_color_184837,pre_float,band,coherent,2.0,1.0,0.386404,0.619454,13.4791,0.240372,0.211857,1.0,,
task_attr_mod_color_184837,pre_float,band,coherent,3.1416,1.0,0.368176,0.526888,11.9769,-0.006758,0.251859,1.0,,
task_attr_mod_color_184837,pre_deliver,band,random,0.08,1.0,0.020616,0.05487,33.9406,0.991154,0.020089,0.142528,,
task_attr_mod_color_184837,pre_deliver,band,random,0.3,1.0,0.163205,0.168282,27.5469,0.960395,0.041943,0.36401,,
task_attr_mod_color_184837,pre_deliver,band,random,0.6,1.0,0.279316,0.355095,22.2749,0.87277,0.076958,0.64566,,
task_attr_mod_color_184837,pre_deliver,band,random,1.2,1.0,0.350338,0.547665,16.8537,0.607585,0.143653,0.968627,,
task_attr_mod_color_184837,pre_deliver,band,random,2.0,1.0,0.385542,0.615719,13.4748,0.240342,0.211963,1.0,,
task_attr_mod_color_184837,pre_deliver,band,random,3.1416,1.0,0.369954,0.530876,11.9795,-0.005648,0.251784,1.0,,
task_attr_mod_color_184837,pre_deliver,band,coherent,0.08,1.0,0.021241,0.057104,33.9507,0.991159,0.020066,0.138154,,
task_attr_mod_color_184837,pre_deliver,band,coherent,0.3,1.0,0.163305,0.177949,27.5835,0.960383,0.041766,0.358519,,
task_attr_mod_color_184837,pre_deliver,band,coherent,0.6,1.0,0.292192,0.363776,22.301,0.872422,0.076727,0.64199,,
task_attr_mod_color_184837,pre_deliver,band,coherent,1.2,1.0,0.361945,0.554283,16.868,0.607181,0.143416,0.984314,,
task_attr_mod_color_184837,pre_deliver,band,coherent,2.0,1.0,0.387367,0.62007,13.4776,0.240948,0.211894,1.0,,
task_attr_mod_color_184837,pre_deliver,band,coherent,3.1416,1.0,0.369954,0.530876,11.9795,-0.005648,0.251784,1.0,,
task_attr_mod_color_184837,post_int,band,random,0.08,1.0,0.026892,0.056185,33.7534,0.990668,0.020527,0.14942,0.656599,0.978498
task_attr_mod_color_184837,post_int,band,random,0.3,1.0,0.175989,0.185385,26.826,0.954282,0.045572,0.373025,0.656599,0.928757
task_attr_mod_color_184837,post_int,band,random,0.6,1.0,0.292357,0.393925,21.4163,0.854379,0.084955,0.698832,0.656599,0.883958
task_attr_mod_color_184837,post_int,band,random,1.2,1.0,0.358066,0.561943,16.2834,0.583831,0.153401,1.0,0.656599,0.818458
task_attr_mod_color_184837,post_int,band,random,2.0,1.0,0.386454,0.621726,13.296,0.240056,0.216371,1.0,0.656599,0.798221
task_attr_mod_color_184837,post_int,band,random,3.1416,1.0,0.369954,0.530876,11.9795,-0.005648,0.251784,1.0,0.656599,0.736453
task_attr_mod_color_184837,post_int,band,coherent,0.08,1.0,0.025232,0.058476,33.7619,0.990619,0.020507,0.139776,0.656599,0.97844
task_attr_mod_color_184837,post_int,band,coherent,0.3,1.0,0.179223,0.196215,26.8445,0.953922,0.045475,0.374101,0.656599,0.928973
task_attr_mod_color_184837,post_int,band,coherent,0.6,1.0,0.304417,0.402193,21.4229,0.853638,0.08489,0.671306,0.656599,0.884007
task_attr_mod_color_184837,post_int,band,coherent,1.2,1.0,0.36921,0.568404,16.2602,0.582097,0.153813,0.984314,0.656599,0.81842
task_attr_mod_color_184837,post_int,band,coherent,2.0,1.0,0.389466,0.623318,13.282,0.241151,0.216722,1.0,0.656599,0.798334
task_attr_mod_color_184837,post_int,band,coherent,3.1416,1.0,0.369954,0.530876,11.9795,-0.005648,0.251784,1.0,0.656599,0.736453
task_attr_mod_color_184837,pre_float,texture,random,0.08,0.50007,0.003631,0.003674,43.5073,0.99901,0.006677,0.076079,,
task_attr_mod_color_184837,pre_float,texture,random,0.3,0.50007,0.019803,0.02861,34.0339,0.991351,0.019875,0.224738,,
task_attr_mod_color_184837,pre_float,texture,random,0.6,0.50007,0.079048,0.097842,28.2681,0.968072,0.038601,0.446685,,
task_attr_mod_color_184837,pre_float,texture,random,1.2,0.50007,0.187405,0.262255,22.5373,0.88677,0.074668,0.819795,,
task_attr_mod_color_184837,pre_float,texture,random,2.0,0.50007,0.26151,0.414431,18.546,0.736858,0.118222,0.975521,,
task_attr_mod_color_184837,pre_float,texture,random,3.1416,0.50007,0.317425,0.514874,15.5653,0.518483,0.166622,1.0,,
task_attr_mod_color_184837,pre_float,texture,coherent,0.08,0.50007,0.002573,0.003663,43.539,0.999014,0.006653,0.073645,,
task_attr_mod_color_184837,pre_float,texture,coherent,0.3,0.50007,0.020314,0.028746,34.0829,0.991439,0.019763,0.219266,,
task_attr_mod_color_184837,pre_float,texture,coherent,0.6,0.50007,0.076233,0.101395,28.3213,0.968412,0.038365,0.408335,,
task_attr_mod_color_184837,pre_float,texture,coherent,1.2,0.50007,0.192773,0.271787,22.5813,0.887562,0.074291,0.815943,,
task_attr_mod_color_184837,pre_float,texture,coherent,2.0,0.50007,0.270553,0.421571,18.5718,0.737432,0.117872,0.988235,,
task_attr_mod_color_184837,pre_float,texture,coherent,3.1416,0.50007,0.323146,0.517493,15.5719,0.518231,0.166497,1.0,,
task_attr_mod_color_184837,pre_deliver,texture,random,0.08,0.50007,0.007935,0.045809,34.8839,0.993056,0.018022,0.142023,,
task_attr_mod_color_184837,pre_deliver,texture,random,0.3,0.50007,0.024072,0.069831,31.7469,0.985674,0.025861,0.249611,,
task_attr_mod_color_184837,pre_deliver,texture,random,0.6,0.50007,0.080213,0.134726,27.5725,0.962945,0.041819,0.435848,,
task_attr_mod_color_184837,pre_deliver,texture,random,1.2,0.50007,0.187292,0.284142,22.3621,0.883038,0.076189,0.816198,,
task_attr_mod_color_184837,pre_deliver,texture,random,2.0,0.50007,0.261233,0.424207,18.4901,0.734508,0.118985,0.974042,,
task_attr_mod_color_184837,pre_deliver,texture,random,3.1416,0.50007,0.317224,0.51933,15.5491,0.517815,0.166933,1.0,,
task_attr_mod_color_184837,pre_deliver,texture,coherent,0.08,0.50007,0.008196,0.045939,34.8945,0.993056,0.018,0.13733,,
task_attr_mod_color_184837,pre_deliver,texture,coherent,0.3,0.50007,0.02343,0.070993,31.7772,0.985715,0.025771,0.249216,,
task_attr_mod_color_184837,pre_deliver,texture,coherent,0.6,0.50007,0.078942,0.138658,27.6125,0.963058,0.041627,0.443227,,
task_attr_mod_color_184837,pre_deliver,texture,coherent,1.2,0.50007,0.194153,0.292156,22.4029,0.883425,0.075833,0.836329,,
task_attr_mod_color_184837,pre_deliver,texture,coherent,2.0,0.50007,0.270822,0.43043,18.5139,0.734857,0.11866,0.988235,,
task_attr_mod_color_184837,pre_deliver,texture,coherent,3.1416,0.50007,0.322027,0.521979,15.5555,0.517483,0.16681,1.0,,
