image,mode,theta,qd,dists,lpips,psnr,ssim,rms,linf,off_support_frac,degenerate_frac
task_obj_remove_380621,priced,1.8,0.85,0.369016,0.754645,11.2017,0.360776,0.275368,1.0,0.243695,0.089355
task_obj_remove_380621,priced,2.5,0.85,0.32456,0.729021,12.4586,0.247109,0.23827,1.0,0.06301,0.089355
task_obj_swap_joint_mask_276754,full,0.05,0.85,0.00556,0.025474,34.9152,0.998777,0.017957,0.280426,0.403369,0.213867
task_obj_swap_joint_mask_276754,full,0.1,0.85,0.023154,0.102376,28.3099,0.990786,0.038415,0.493509,0.412421,0.213867
task_obj_swap_joint_mask_276754,full,0.2,0.85,0.084985,0.233598,22.8394,0.959262,0.072116,0.954152,0.414841,0.213867
task_obj_swap_joint_mask_276754,full,0.4,0.85,0.195606,0.368186,18.0375,0.858995,0.12535,1.0,0.404323,0.213867
task_obj_swap_joint_mask_276754,full,0.8,0.85,0.310701,0.471537,14.1814,0.621542,0.195401,1.0,0.356625,0.213867
task_obj_swap_joint_mask_276754,full,1.2,0.85,0.345884,0.507793,12.6172,0.438429,0.233958,1.0,0.286265,0.213867
task_obj_swap_joint_mask_276754,full,1.8,0.85,0.347387,0.522781,12.0056,0.25818,0.251026,1.0,0.162506,0.213867
task_obj_swap_joint_mask_276754,full,2.5,0.85,0.311732,0.494331,13.1731,0.06935,0.219455,1.0,0.04208,0.213867
task_obj_swap_joint_mask_276754,support,0.05,0.85,0.006445,0.018248,37.0337,0.998374,0.01407,0.207975,0.0,0.213867
task_obj_swap_joint_mask_276754,support,0.1,0.85,0.016822,0.067822,30.8728,0.991372,0.028599,0.42836,0.0,0.213867
task_obj_swap_joint_mask_276754,support,0.2,0.85,0.056582,0.163686,25.4478,0.969377,0.053409,0.799048,0.0,0.213867
task_obj_swap_joint_mask_276754,support,0.4,0.85,0.159559,0.301087,20.2787,0.894685,0.096842,1.0,0.0,0.213867
task_obj_swap_joint_mask_276754,support,0.8,0.85,0.286296,0.427285,15.9746,0.688883,0.158953,1.0,0.0,0.213867
task_obj_swap_joint_mask_276754,support,1.2,0.85,0.33027,0.474582,14.1774,0.497936,0.195492,1.0,0.0,0.213867
task_obj_swap_joint_mask_276754,support,1.8,0.85,0.341504,0.492697,13.3191,0.279204,0.215798,1.0,0.0,0.213867
task_obj_swap_joint_mask_276754,support,2.5,0.85,0.307488,0.47002,14.0784,0.05664,0.197734,1.0,0.0,0.213867
task_obj_swap_joint_mask_276754,lowfreq,0.05,0.85,0.00532,0.015132,39.4038,0.998384,0.01071,0.147375,0.161934,0.213867
task_obj_swap_joint_mask_276754,lowfreq,0.1,0.85,0.018877,0.056229,33.0795,0.990557,0.022183,0.334072,0.172948,0.213867
task_obj_swap_joint_mask_276754,lowfreq,0.2,0.85,0.071038,0.150178,27.3815,0.963672,0.042749,0.630837,0.175088,0.213867
task_obj_swap_joint_mask_276754,lowfreq,0.4,0.85,0.170601,0.298712,22.0129,0.88002,0.079315,0.96466,0.169601,0.213867
task_obj_swap_joint_mask_276754,lowfreq,0.8,0.85,0.315353,0.421438,17.3912,0.672151,0.135033,1.0,0.149438,0.213867
task_obj_swap_joint_mask_276754,lowfreq,1.2,0.85,0.370367,0.482587,15.3102,0.473585,0.17159,1.0,0.120032,0.213867
task_obj_swap_joint_mask_276754,lowfreq,1.8,0.85,0.373854,0.502228,14.252,0.249917,0.193821,1.0,0.068323,0.213867
task_obj_swap_joint_mask_276754,lowfreq,2.5,0.85,0.321723,0.471868,14.565,0.039276,0.18696,1.0,0.017601,0.213867
task_obj_swap_joint_mask_276754,priced,0.05,0.85,0.007582,0.049176,31.876,0.998041,0.02548,0.353995,0.685194,0.213867
task_obj_swap_joint_mask_276754,priced,0.1,0.85,0.034116,0.150444,25.9344,0.987984,0.050499,0.702437,0.674003,0.213867
task_obj_swap_joint_mask_276754,priced,0.2,0.85,0.10563,0.289649,20.7152,0.947162,0.092096,1.0,0.661585,0.213867
task_obj_swap_joint_mask_276754,priced,0.4,0.85,0.224752,0.41945,16.1911,0.814279,0.155041,1.0,0.642881,0.213867
task_obj_swap_joint_mask_276754,priced,0.8,0.85,0.319198,0.493521,12.6875,0.550139,0.232072,1.0,0.56977,0.213867
task_obj_swap_joint_mask_276754,priced,1.2,0.85,0.355423,0.528628,11.3068,0.386338,0.272057,1.0,0.4578,0.213867
task_obj_swap_joint_mask_276754,priced,1.8,0.85,0.365484,0.540597,10.8546,0.247557,0.286595,1.0,0.260081,0.213867
task_obj_swap_joint_mask_276754,priced,2.5,0.85,0.309947,0.515523,12.251,0.093329,0.244034,1.0,0.067139,0.213867
task_obj_swap_joint_mask_533428,full,0.05,0.85,0.006858,0.085595,29.7299,0.99762,0.032621,0.418344,0.515059,0.062337
task_obj_swap_joint_mask_533428,full,0.1,0.85,0.030236,0.203496,24.2625,0.987827,0.061218,0.924416,0.520337,0.062337
task_obj_swap_joint_mask_533428,full,0.2,0.85,0.11352,0.397535,18.9697,0.941538,0.112593,1.0,0.518839,0.062337
task_obj_swap_joint_mask_533428,full,0.4,0.85,0.24973,0.593519,14.5086,0.806453,0.188178,1.0,0.503658,0.062337
task_obj_swap_joint_mask_533428,full,0.8,0.85,0.368042,0.691074,11.4528,0.56792,0.267522,1.0,0.444225,0.062337
task_obj_swap_joint_mask_533428,full,1.2,0.85,0.420481,0.72091,10.3526,0.409088,0.303646,1.0,0.356764,0.062337
task_obj_swap_joint_mask_533428,full,1.8,0.85,0.420972,0.730832,9.9207,0.262179,0.319129,1.0,0.202475,0.062337
task_obj_swap_joint_mask_533428,full,2.5,0.85,0.375749,0.707231,10.7147,0.131569,0.291249,1.0,0.052217,0.062337
task_obj_swap_joint_mask_533428,support,0.05,0.85,0.005419,0.028942,34.1095,0.997733,0.019702,0.271671,0.0,0.062337
task_obj_swap_joint_mask_533428,support,0.1,0.85,0.019519,0.087548,28.4648,0.989902,0.037736,0.564786,0.0,0.062337
task_obj_swap_joint_mask_533428,support,0.2,0.85,0.072094,0.197551,22.9867,0.963441,0.070903,0.927564,0.0,0.062337
task_obj_swap_joint_mask_533428,support,0.4,0.85,0.183214,0.367889,17.9193,0.877563,0.127067,1.0,0.0,0.062337
task_obj_swap_joint_mask_533428,support,0.8,0.85,0.322862,0.535637,14.008,0.675449,0.199342,1.0,0.0,0.062337
task_obj_swap_joint_mask_533428,support,1.2,0.85,0.389028,0.59061,12.4941,0.504339,0.237299,1.0,0.0,0.062337
task_obj_swap_joint_mask_533428,support,1.8,0.85,0.410827,0.617002,11.694,0.308539,0.260195,1.0,0.0,0.062337
task_obj_swap_joint_mask_533428,support,2.5,0.85,0.371687,0.60827,11.9927,0.120944,0.2514,1.0,0.0,0.062337
task_obj_swap_joint_mask_533428,lowfreq,0.05,0.85,0.006588,0.036884,34.8502,0.997737,0.018092,0.222712,0.212151,0.062337
task_obj_swap_joint_mask_533428,lowfreq,0.1,0.85,0.022973,0.109635,28.9469,0.98658,0.035699,0.445399,0.21988,0.062337
task_obj_swap_joint_mask_533428,lowfreq,0.2,0.85,0.088703,0.260833,23.2433,0.94571,0.068839,0.866197,0.220479,0.062337
task_obj_swap_joint_mask_533428,lowfreq,0.4,0.85,0.212155,0.46494,18.0294,0.83345,0.125468,1.0,0.213275,0.062337
task_obj_swap_joint_mask_533428,lowfreq,0.8,0.85,0.358841,0.613955,13.8822,0.60216,0.202251,1.0,0.187686,0.062337
task_obj_swap_joint_mask_533428,lowfreq,1.2,0.85,0.421464,0.657747,12.2513,0.428599,0.244026,1.0,0.150558,0.062337
task_obj_swap_joint_mask_533428,lowfreq,1.8,0.85,0.432083,0.67482,11.4643,0.258587,0.267167,1.0,0.085433,0.062337
task_obj_swap_joint_mask_533428,lowfreq,2.5,0.85,0.385602,0.651607,11.9062,0.106849,0.253917,1.0,0.022041,0.062337
task_obj_swap_joint_mask_533428,priced,0.05,0.85,0.008563,0.123014,27.4119,0.996919,0.042599,0.595688,0.809298,0.062337
task_obj_swap_joint_mask_533428,priced,0.1,0.85,0.03695,0.276311,21.9638,0.983166,0.079765,0.994235,0.803786,0.062337
task_obj_swap_joint_mask_533428,priced,0.2,0.85,0.139849,0.489158,16.9316,0.921645,0.14237,1.0,0.800692,0.062337
task_obj_swap_joint_mask_533428,priced,0.4,0.85,0.273103,0.632825,13.014,0.76336,0.223513,1.0,0.777826,0.062337
task_obj_swap_joint_mask_533428,priced,0.8,0.85,0.387369,0.707755,10.4481,0.520356,0.300329,1.0,0.687509,0.062337
task_obj_swap_joint_mask_533428,priced,1.2,0.85,0.424917,0.730379,9.5395,0.370977,0.333444,1.0,0.552169,0.062337
task_obj_swap_joint_mask_533428,priced,1.8,0.85,0.427158,0.738896,9.222,0.245456,0.345859,1.0,0.313354,0.062337
task_obj_swap_joint_mask_533428,priced,2.5,0.85,0.379572,0.719585,10.0647,0.139916,0.313883,1.0,0.080781,0.062337
task_obj_swap_rand_mask_417469,full,0.05,0.85,0.003958,0.054729,32.6675,0.99788,0.023261,0.292348,0.488486,0.068848
task_obj_swap_rand_mask_417469,full,0.1,0.85,0.023382,0.166221,26.9141,0.986092,0.045112,0.554246,0.508184,0.068848
task_obj_swap_rand_mask_417469,full,0.2,0.85,0.087342,0.348297,21.5105,0.942429,0.084037,0.983733,0.513426,0.068848
task_obj_swap_rand_mask_417469,full,0.4,0.85,0.199428,0.54564,16.865,0.823091,0.143466,1.0,0.497259,0.068848
task_obj_swap_rand_mask_417469,full,0.8,0.85,0.338221,0.660323,13.516,0.606221,0.21096,1.0,0.4387,0.068848
task_obj_swap_rand_mask_417469,full,1.2,0.85,0.397254,0.696935,12.2737,0.464812,0.243398,1.0,0.352249,0.068848
task_obj_swap_rand_mask_417469,full,1.8,0.85,0.423478,0.709575,11.7791,0.350708,0.257658,1.0,0.200033,0.068848
task_obj_swap_rand_mask_417469,full,2.5,0.85,0.403687,0.676669,12.6124,0.261865,0.234089,1.0,0.051673,0.068848
task_obj_swap_rand_mask_417469,support,0.05,0.85,0.002089,0.018464,36.0481,0.99726,0.015761,0.22896,0.0,0.068848
task_obj_swap_rand_mask_417469,support,0.1,0.85,0.011307,0.061667,30.5528,0.989241,0.029673,0.431739,0.0,0.068848
task_obj_swap_rand_mask_417469,support,0.2,0.85,0.054625,0.15661,25.0353,0.963631,0.056006,0.888396,0.0,0.068848
task_obj_swap_rand_mask_417469,support,0.4,0.85,0.155497,0.310333,19.9622,0.889957,0.100437,1.0,0.0,0.068848
task_obj_swap_rand_mask_417469,support,0.8,0.85,0.289864,0.460757,16.0403,0.723133,0.157756,1.0,0.0,0.068848
task_obj_swap_rand_mask_417469,support,1.2,0.85,0.378311,0.523973,14.4841,0.578759,0.188709,1.0,0.0,0.068848
task_obj_swap_rand_mask_417469,support,1.8,0.85,0.416246,0.560527,13.6109,0.414439,0.208666,1.0,0.0,0.068848
task_obj_swap_rand_mask_417469,support,2.5,0.85,0.389813,0.567015,13.778,0.262419,0.204692,1.0,0.0,0.068848
task_obj_swap_rand_mask_417469,lowfreq,0.05,0.85,0.003418,0.026721,37.3644,0.997029,0.013545,0.170872,0.221729,0.068848
task_obj_swap_rand_mask_417469,lowfreq,0.1,0.85,0.016649,0.095742,31.3121,0.983595,0.027189,0.348223,0.237392,0.068848
task_obj_swap_rand_mask_417469,lowfreq,0.2,0.85,0.070921,0.235993,25.6139,0.942338,0.052397,0.63857,0.238773,0.068848
task_obj_swap_rand_mask_417469,lowfreq,0.4,0.85,0.180408,0.440702,20.3071,0.835983,0.096526,0.964255,0.230761,0.068848
task_obj_swap_rand_mask_417469,lowfreq,0.8,0.85,0.343515,0.597271,15.9784,0.627203,0.158883,1.0,0.203635,0.068848
task_obj_swap_rand_mask_417469,lowfreq,1.2,0.85,0.424635,0.639197,14.2147,0.479865,0.194656,1.0,0.163326,0.068848
task_obj_swap_rand_mask_417469,lowfreq,1.8,0.85,0.446047,0.654011,13.3282,0.345664,0.21557,1.0,0.09273,0.068848
task_obj_swap_rand_mask_417469,lowfreq,2.5,0.85,0.408557,0.629597,13.6975,0.241858,0.206597,1.0,0.023942,0.068848
task_obj_swap_rand_mask_417469,priced,0.05,0.85,0.005041,0.087379,30.218,0.997172,0.030839,0.404319,0.762963,0.068848
task_obj_swap_rand_mask_417469,priced,0.1,0.85,0.029388,0.225593,24.6107,0.982492,0.058811,0.728908,0.763316,0.068848
task_obj_swap_rand_mask_417469,priced,0.2,0.85,0.105424,0.424773,19.4569,0.928019,0.106452,1.0,0.758102,0.068848
task_obj_swap_rand_mask_417469,priced,0.4,0.85,0.223343,0.596632,15.2823,0.785064,0.172142,1.0,0.737007,0.068848
task_obj_swap_rand_mask_417469,priced,0.8,0.85,0.347553,0.686659,12.4128,0.554731,0.239529,1.0,0.651166,0.068848
task_obj_swap_rand_mask_417469,priced,1.2,0.85,0.400521,0.714482,11.353,0.420734,0.270613,1.0,0.522996,0.068848
task_obj_swap_rand_mask_417469,priced,1.8,0.85,0.417831,0.723922,10.9805,0.326617,0.282472,1.0,0.297027,0.068848
task_obj_swap_rand_mask_417469,priced,2.5,0.85,0.40611,0.697872,11.9467,0.265917,0.252736,1.0,0.076588,0.068848
